xYear,xMonth,State,County,Age_Group,rundatetime,PatCount_Opioid,Population
2025,1,CA,San Francisco,45-64 yrs,07SEP2025:04:03:55,3779,"874,961"
2025,1,CA,San Joaquin,45-64 yrs,07SEP2025:04:03:55,7151,"741,463"
2025,1,CA,San Luis Obispo,45-64 yrs,07SEP2025:04:03:55,2510,"280,493"
2025,1,CA,San Mateo,45-64 yrs,07SEP2025:04:03:55,3311,"737,926"
2025,1,CA,Santa Barbara,45-64 yrs,07SEP2025:04:03:55,3279,"445,342"
2025,1,CA,Santa Clara,45-64 yrs,07SEP2025:04:03:55,7698,"1,952,377"
2025,1,CA,Santa Cruz,45-64 yrs,07SEP2025:04:03:55,1910,"293,319"
2025,1,CA,Shasta,45-64 yrs,07SEP2025:04:03:55,2732,"186,541"
2025,1,CA,Sierra,45-64 yrs,07SEP2025:04:03:55,27,"2,755"
2025,1,CA,Siskiyou,45-64 yrs,07SEP2025:04:03:55,549,"44,533"
2025,1,CA,Solano,45-64 yrs,07SEP2025:04:03:55,4452,"440,759"
2025,1,CA,Sonoma,45-64 yrs,07SEP2025:04:03:55,4944,"500,203"
2025,1,CA,Stanislaus,45-64 yrs,07SEP2025:04:03:55,7639,"547,424"
2025,1,CA,Sutter,45-64 yrs,07SEP2025:04:03:55,1329,"95,364"
2025,1,CA,Tehama,45-64 yrs,07SEP2025:04:03:55,745,"55,078"
2025,1,CA,Trinity,45-64 yrs,07SEP2025:04:03:55,168,"12,562"
2025,1,CA,Tulare,45-64 yrs,07SEP2025:04:03:55,5030,"458,532"
2025,1,CA,Tuolumne,45-64 yrs,07SEP2025:04:03:55,735,"52,508"
2025,1,CA,Ventura,45-64 yrs,07SEP2025:04:03:55,7348,"852,332"
2025,1,CA,Yolo,45-64 yrs,07SEP2025:04:03:55,1735,"219,016"
2025,1,CA,Yuba,45-64 yrs,07SEP2025:04:03:55,1313,"75,465"
2025,1,CA,Alameda,=< 14 yrs,07SEP2025:04:03:55,147,"1,662,647"
2025,1,CA,Alpine,=< 14 yrs,07SEP2025:04:03:55,0,"1,006"
2025,1,CA,Amador,=< 14 yrs,07SEP2025:04:03:55,6,"38,522"
2025,1,CA,Butte,=< 14 yrs,07SEP2025:04:03:55,21,"226,231"
2025,1,CA,Calaveras,=< 14 yrs,07SEP2025:04:03:55,13,"45,558"
2025,1,CA,Colusa,=< 14 yrs,07SEP2025:04:03:55,5,"21,729"
2025,1,CA,Contra Costa,=< 14 yrs,07SEP2025:04:03:55,128,"1,136,283"
2025,1,CA,Del Norte,=< 14 yrs,07SEP2025:04:03:55,2,"27,495"
2025,1,CA,El Dorado,=< 14 yrs,07SEP2025:04:03:55,16,"188,491"
2025,1,CA,Fresno,=< 14 yrs,07SEP2025:04:03:55,123,"989,136"
2025,1,CA,Glenn,=< 14 yrs,07SEP2025:04:03:55,3,"28,267"
2025,1,CA,Humboldt,=< 14 yrs,07SEP2025:04:03:55,23,"136,041"
2025,1,CA,Imperial,=< 14 yrs,07SEP2025:04:03:55,13,"176,081"
2025,1,CA,Inyo,=< 14 yrs,07SEP2025:04:03:55,3,"19,272"
2025,1,CA,Kern,=< 14 yrs,07SEP2025:04:03:55,104,"889,141"
2025,1,CA,Kings,=< 14 yrs,07SEP2025:04:03:55,26,"149,259"
2025,1,CA,Lake,=< 14 yrs,07SEP2025:04:03:55,8,"64,223"
2025,1,CA,Lassen,=< 14 yrs,07SEP2025:04:03:55,1,"33,006"
2025,1,CA,Los Angeles,=< 14 yrs,07SEP2025:04:03:55,595,10074537
2025,1,CA,Madera,=< 14 yrs,07SEP2025:04:03:55,18,"154,817"
2025,1,CA,Marin,=< 14 yrs,07SEP2025:04:03:55,29,"259,087"
